Gene,Start,End,Strand
yhhJ,3625679,3626803,-
yhhL,3604979,3605248,+
yhhM,3605251,3605610,-
yhhN,3605751,3606377,+
yhhQ,3609217,3609882,+
yhhS,3610516,3611733,-
yhhT,3611865,3612914,+
yhhW,3578950,3579645,-
yhhX,3579768,3580805,-
yhhY,3581138,3581626,+
yhhZ,3581863,3583041,+
yhiD,3655255,3655902,-
yhiI,3629535,3630602,-
yhiJ,3630968,3632590,-
yhiL,3632852,3634458,-
yhiM,3634841,3635893,+
yhiN,3636208,3637410,-
yhiS,3651291,3653713,+
yhiY,3630665,3630778,-
yhjB,3671292,3671894,-
yhjD,3673362,3674375,+
yhjE,3674786,3676108,+
yhjG,3676290,3678350,-
yhjJ,3680444,3681940,-
yhjR,3695997,3696185,-
yhjV,3700563,3701834,+
yhjX,3710799,3712007,-
yhjY,3712236,3712934,-
yiaA,3726924,3727361,-
yiaB,3727407,3727748,-
yiaC,3713652,3714092,+
yiaD,3716547,3717206,+
yiaF,3718334,3719044,-
yiaG,3719478,3719768,+
yiaK,3742733,3743731,+
yiaL,3743743,3744210,+
yiaM,3744328,3744801,+
yiaN,3744804,3746081,+
yiaO,3746094,3747080,+
yiaT,3751128,3751868,-
yiaU,3751992,3752966,+
yiaV,3752963,3754099,-
yiaW,3754105,3754428,-
yiaY,3756676,3757827,-
yibA,3766337,3767179,+
yibF,3761347,3761955,-
yibG,3768177,3768638,+
yibH,3770243,3771379,-
yibI,3771382,3771744,-
yibJ,3767221,3767922,+
yibL,3776665,3777027,+
yibN,3784584,3785015,-
yibQ,3788101,3789060,+
yibS,3768639,3768890,+
yibT,3776171,3776380,-
yibU,3769948,3770146,+
yibV,3769345,3769680,+
yibW,3768892,3769256,+
yibX,3797772,3798014,-
yibY,3798039,3798149,-
yicC,3816676,3817539,+
yicG,3818874,3819491,+
yicH,3830457,3832166,+
yicI,3832219,3834537,-
yicJ,3834547,3835929,-
yicL,3838248,3839171,+
yicN,3841950,3842402,-
yicR,3811891,3812559,-
yicS,3840215,3840508,+
yicT,3836425,3836556,+
yicU,3838642,3838701,-
yidA,3876140,3876952,-
yidB,3877067,3877465,-
yidC,3885076,3886722,+
yidD,3884816,3885073,+
yidE,3864612,3866273,-
yidF,3855114,3855611,-
yidG,3855608,3855970,-
yidH,3855960,3856307,-
yidI,3856415,3856864,+
yidJ,3856911,3858404,-
yidK,3858401,3860116,-
yidL,3860283,3861176,+
yidP,3863899,3864615,+
yidQ,3867728,3868060,+
yidR,3868062,3869309,-
yidX,3875438,3876094,+
yidZ,3892765,3893724,+
yieE,3893881,3894630,+
yieF,3894652,3895218,+
yieH,3896774,3897439,+
yieK,3898671,3899393,-
yieL,3899408,3900577,-
yieP,3940635,3941327,-
yifB,3948449,3949969,-
yifK,3980887,3982272,+
yifL,3994522,3994725,+
yifN,3960012,3960460,-
yigA,3995583,3996290,+
yigB,3997183,3997899,+
yigE,4000292,4001056,-
yigF,4002419,4002799,-
yigG,4002813,4003193,-
yigI,4004230,4004697,-
yigL,4010200,4011000,+
yigZ,4032492,4033106,+
yihA,4050133,4050765,-
yihD,4042069,4042338,+
yihF,4044199,4045629,+
yihG,4045670,4046602,-
yihI,4051347,4051856,+
yihL,4060447,4061157,+
yihM,4061165,4062145,+
yihN,4062247,4063512,+
yihO,4064363,4065766,-
yihP,4065809,4067194,-
yihQ,4067240,4069276,-
yihR,4069475,4070401,-
yihS,4070515,4071756,-
yihT,4071773,4072651,-
yihU,4072675,4073571,-
yihV,4073739,4074635,+
yihX,4075553,4076152,+
yihY,4076146,4077018,+
yiiE,4079291,4079509,+
yiiF,4079751,4079969,+
yiiG,4087002,4088057,+
yiiM,4102822,4103496,+
yiiQ,4111615,4112214,-
yiiR,4112315,4112755,+
yiiS,4112967,4113266,+
yiiX,4127286,4127894,-
yijD,4161771,4162130,+
yijE,4136108,4137013,+
yijF,4137040,4137657,-
yijO,4147466,4148317,-
yjaA,4213234,4213617,+
yjaB,4213680,4214123,-
yjaG,4199504,4200094,+
yjaH,4200566,4201261,+
yjaZ,4189786,4190325,+
yjbB,4227731,4229362,+
yjbD,4231359,4231631,-
yjbE,4235906,4236148,+
yjbF,4236262,4236900,+
yjbG,4236897,4237634,+
yjbH,4237634,4239730,+
yjbI,4250703,4252283,+
yjbJ,4259237,4259446,+
yjbL,4260321,4260575,+
yjbM,4260599,4261306,+
yjbQ,4270238,4270654,+
yjbR,4270658,4271014,+
yjbS,4268809,4269012,-
yjbT,4239777,4240055,-
yjcB,4274760,4275041,-
yjcE,4279980,4281629,+
yjcF,4281783,4283075,-
yjcH,4284899,4285213,-
yjcO,4296436,4297125,-
yjcS,4304612,4306597,-
yjdC,4362733,4363308,-
yjdF,4344929,4345558,-
yjdI,4351843,4352073,+
yjdJ,4352085,4352357,+
yjdM,4326399,4326734,-
yjdN,4325298,4325741,-
yjdP,4313868,4314197,+
yjdQ,4362191,4362353,-
yjeH,4369156,4370412,-
yjeI,4372809,4373162,+
yjeJ,4373365,4374234,-
yjeM,4383839,4385341,+
yjeN,4385393,4385707,+
yjeO,4385704,4386018,+
yjeT,4404386,4404583,+
yjeV,4392892,4392945,+
yjfC,4413028,4414191,+
yjfF,4453583,4454578,+
yjfI,4410133,4410534,+
yjfJ,4410553,4411251,+
yjfK,4411302,4411961,+
yjfL,4411979,4412377,+
yjfM,4412387,4413025,+
yjfN,4416017,4416292,-
yjfP,4416952,4417701,+
yjfY,4424516,4424791,-
yjfZ,4426628,4427422,-
yjgA,4457314,4457865,-
yjgH,4472814,4473209,-
yjgL,4475437,4477251,+
yjgM,4479034,4479537,-
yjgN,4479730,4480926,+
yjgR,4488561,4490063,-
yjgX,4499593,4500791,-
yjgZ,4501260,4501589,+
yjhD,4506626,4506856,-
yjhE,4506861,4507109,+
yjhF,4520671,4522020,-
yjhG,4522127,4524094,-
yjhH,4524105,4525010,-
yjhI,4525015,4525803,-
yjhP,4532437,4533183,-
yjhQ,4533239,4533784,-
yjhR,4535015,4536031,+
yjhU,4519338,4520324,-
yjhV,4509804,4510133,+
yjhY,4532050,4532310,-
yjhZ,4534430,4534675,-
yjiA,4587909,4588865,-
yjiC,4555490,4556320,-
yjiG,4559539,4560000,-
yjiH,4559997,4560680,-
yjiJ,4561497,4562675,-
yjiK,4562743,4563603,-
yjiL,4563922,4564689,-
yjiM,4564699,4565850,-
yjiN,4565966,4567246,-
yjiR,4570162,4571574,-
yjiS,4571751,4571915,+
yjiT,4572414,4573931,+
yjiV,4574135,4576855,+
yjiX,4588876,4589079,-
yjjA,4599695,4600189,-
yjjB,4601624,4602097,-
yjjG,4608646,4609323,+
yjjI,4615515,4617065,-
yjjJ,4621769,4623100,+
yjjP,4602088,4602858,-
yjjQ,4603477,4604202,+
yjjU,4612411,4613484,+
yjjV,4613481,4614260,+
yjjW,4614680,4615543,-
yjjX,4633233,4633745,-
yjjY,4640402,4640542,+
yjjZ,4605804,4606040,+
yjtD,4640942,4641628,+
ykfA,268097,268960,-
ykfB,265620,266087,-
ykfC,272847,273992,+
ykfF,265304,265543,-
ykfG,264256,264732,-
ykfH,264026,264247,-
ykfI,263328,263669,-
ykfJ,253467,253733,+
ykfK,266776,266967,-
ykfL,266553,266774,-
ykfM,238257,238736,-
ykfN,263150,263212,-
ykfO,234288,234320,+
ykgA,316450,317136,-
ykgE,321608,322327,+
ykgF,322338,323765,+
ykgG,323758,324453,+
ykgH,324696,325364,-
ykgJ,303853,304182,-
ykgL,312112,312339,+
ykgM,312514,312777,-
ykgO,312374,312514,-
ykgP,313716,313805,-
ykgQ,317439,317567,+
ykgR,313141,313242,-
ykgS,290510,290638,+
ykgV,294918,295142,-
ykiA,408609,408950,+
ykiC,383960,384079,+
ykiD,408947,409030,+
ykiE,4518372,4518440,+
ylaC,478781,479251,-
ylbE,548357,549616,+
ylbF,549627,550442,+
ylbG,529645,530016,-
ylbH,527949,528659,+
ylbI,529497,529592,+
ylcG,573730,573870,+
ylcH,572368,572469,+
ylcI,580251,580445,-
ylcJ,568695,568844,+
yldA,643330,643419,-
yliI,878742,879857,+
yliM,850332,850397,+
yljB,922740,922814,+
ymcE,1051847,1052077,+
ymcF,1051684,1051872,+
ymdA,1105414,1105725,+
ymdB,1105820,1106353,+
ymdE,1095544,1095846,+
ymdF,1068081,1068254,+
ymdG,1079120,1079146,+
ymfA,1181264,1181725,-
ymfD,1196867,1197532,-
ymfE,1197533,1198237,-
ymfH,1201069,1201380,-
ymfI,1201497,1201838,+
ymfJ,1201776,1202084,-
ymfK,1202259,1202933,-
ymfL,1203268,1203825,+
ymfM,1203822,1204160,+
ymfN,1204170,1205537,+
ymfQ,1206913,1207497,+
ymfR,1205549,1205731,+
ymfT,1203024,1203224,+
ymgA,1216068,1216340,+
ymgC,1216748,1216996,+
ymgD,1222305,1222634,-
ymgE,1244728,1244982,+
ymgF,1218983,1219201,+
ymgG,1222644,1222988,-
ymgI,1222990,1223163,-
ymgJ,1223264,1223449,+
ymgK,1212260,1212304,-
ymgL,1212540,1212650,-
ymgM,1240260,1240463,+
ymgN,1227368,1227427,+
ymiA,1335148,1335288,+
ymiB,1346796,1346900,+
ymiC,1335572,1335667,+
ymiD,1344647,1344775,+
ymjA,1357423,1357668,-
ymjB,1381789,1381902,+
ymjC,1390680,1390862,-
ymjD,1390868,1390933,-
ymjE,1359177,1359341,-
ynaA,1426454,1427482,+
ynaE,1433991,1434224,-
ynaI,1394891,1395922,-
ynaJ,1397365,1397622,+
ynaK,1425377,1425640,+
ynaL,1409308,1409481,+
ynaM,1434293,1434406,-
ynaN,1407989,1408036,+
ynbA,1477621,1478226,+
ynbB,1478226,1479122,+
ynbC,1479138,1480895,+
ynbD,1480909,1482201,+
ynbE,1445687,1445872,+
ynbG,1465165,1465230,-
yncD,1520963,1523065,-
yncE,1523307,1524368,+
yncG,1526247,1526864,+
yncH,1526940,1527152,+
yncI,1530586,1531639,+
yncJ,1508834,1509064,-
yncK,1503218,1503649,-
yncL,1517099,1517194,-
yncO,1530319,1530504,-
yncP,1491876,1491944,+
yneE,1608108,1609022,-
yneG,1611966,1612325,-
yneJ,1614804,1615685,+
yneK,1615763,1616878,+
yneL,1590334,1590536,-
yneO,1592665,1598086,-
yneP,1579545,1579667,+
ynfA,1655347,1655673,-
ynfB,1655808,1656149,+
ynfC,1656747,1657457,-
ynfD,1657565,1657870,+
ynfE,1658069,1660495,+
ynfF,1660556,1662979,+
ynfG,1662990,1663607,+
ynfH,1663609,1664463,+
ynfL,1668699,1669592,-
ynfM,1669699,1670952,+
ynfN,1637954,1638109,-
ynfO,1636756,1636989,+
ynfP,1652728,1652838,-
ynfQ,1638256,1638444,-
ynfR,1638188,1638253,-
ynfS,1642122,1642211,+
ynfT,1632890,1633003,+
ynfU,1640805,1640975,+
ynhH,1755496,1755690,+
yniA,1807796,1808656,+
yniB,1808697,1809233,-
yniD,1805165,1805272,+
ynjA,1835515,1836063,+
ynjB,1836073,1837239,+
ynjC,1837212,1838747,+
ynjD,1838747,1839400,+
ynjE,1839467,1840774,+
ynjF,1840783,1841403,-
ynjH,1841863,1842135,-
ynjI,1843831,1844871,-
yoaA,1891325,1893235,-
yoaB,1893367,1893711,+
yoaC,1894133,1894432,+
yoaE,1900029,1901585,-
yoaF,1877278,1877532,-
yoaG,1879403,1879585,-
yoaH,1894552,1894731,-
yoaI,1874078,1874182,-
yoaJ,1878874,1878948,+
yoaK,1878773,1878871,+
yoaL,1901573,1901731,-
yoaM,2347350,2347385,-
yobA,1924595,1924969,-
yobB,1925440,1926096,+
yobD,1904801,1905259,+
yobF,1907448,1907591,-
yobH,1908925,1909164,+
yobI,1946115,1946180,-
yodB,2042368,2042898,+
yodC,2028188,2028370,-
yodD,2024986,2025213,+
yodE,2470497,2470643,-
yoeA,2068635,2070474,+
yoeB,2089211,2089465,-
yoeD,2078549,2078677,-
yoeF,2078575,2078931,+
yoeG,2067360,2067892,-
yoeH,2068261,2068419,-
yoeI,2087052,2087114,-
yoeJ,2079427,2079477,-
yohC,2225044,2225631,-
yohD,2225801,2226379,+
yohF,2226509,2227270,-
yohJ,2230624,2231022,+
yohK,2231019,2231714,+
yohO,2215657,2215764,+
yohP,2228982,2229065,+
yojI,2306972,2308615,-
yojO,2303606,2303770,+
ypaA,2357816,2358001,+
ypaB,2344594,2344737,-
ypdC,2501130,2501987,+
ypdE,2504510,2505547,-
ypdF,2505547,2506632,-
ypdI,2494698,2494973,+
ypdJ,2476094,2476234,+
ypdK,2496921,2496992,+
ypeA,2551713,2552138,-
ypeB,2527941,2528159,-
ypeC,2511001,2511327,+
ypeD,2512687,2512776,-
ypfG,2581734,2582777,-
ypfH,2593072,2593770,-
ypfJ,2595874,2596737,-
ypfM,2590807,2590866,-
ypfN,2592762,2592962,+
yphA,2673346,2673768,+
yphB,2673816,2674688,-
yphC,2674700,2675761,-
yphD,2675827,2676825,-
yphE,2676850,2678361,-
yphF,2678384,2679367,-
yphG,2679464,2682745,-
yphH,2682863,2684056,+
ypjA,2778146,2782726,-
ypjB,2783638,2784429,-
ypjC,2784529,2785011,-
ypjD,2747962,2748753,+
ypjF,2777453,2777782,+
ypjI,2775545,2775816,+
ypjJ,2776877,2777077,+
ypjK,2770445,2770681,+
yqaA,2816512,2816940,-
yqaB,2816937,2817503,-
yqaE,2796870,2797028,-
yqcA,2922535,2922984,-
yqcC,2923784,2924113,-
yqcE,2900592,2901869,+
yqcG,2905557,2905697,+
yqeA,3011461,3012393,+
yqeB,3012614,3014239,-
yqeC,3014287,3015057,-
yqeF,2984411,2985592,-
yqeG,2985847,2987076,+
yqeH,2987536,2988168,+
yqeI,2988502,2989311,+
yqeJ,2989304,2989786,+
yqeK,2989935,2990360,-
yqeL,2989819,2989899,-
yqfA,3042489,3043148,-
yqfB,3043312,3043623,-
yqfE,3059381,3059611,-
yqfG,3032817,3032942,+
yqfH,3032939,3033010,-
yqfI,3050958,3051041,+
yqgA,3109553,3110260,+
yqgB,3085920,3086051,-
yqgC,3086187,3086402,+
yqgD,3086399,3086650,-
yqgE,3092937,3093500,+
yqgF,3093500,3093916,+
yqgG,3086145,3086288,-
yqgH,3109317,3109400,-
yqhA,3148977,3149471,-
yqhC,3154262,3155218,-
yqhD,3155355,3156518,+
yqhG,3157650,3158576,+
yqhH,3158627,3158884,+
yqhI,3147597,3147740,-
yqhJ,3111266,3111325,+
yqiA,3175425,3176006,-
yqiB,3176858,3177280,-
yqiD,3183381,3183551,-
yqiG,3186025,3189865,+
yqiH,3189881,3190630,+
yqiI,3190632,3191696,+
yqiJ,3192208,3192837,+
yqiK,3192864,3194525,+
yqiM,3247668,3247751,+
yqjA,3247773,3248435,+
yqjC,3248969,3249337,+
yqjD,3249375,3249680,+
yqjE,3249683,3250087,+
yqjF,3250562,3250954,+
yqjG,3251024,3252010,+
yqjK,3250077,3250376,+
yraH,3287426,3288010,+
yraI,3288090,3288785,+
yraJ,3288814,3291330,+
yraK,3291341,3292432,+
yraN,3295394,3295789,+
yraQ,3297098,3298138,-
yraR,3298211,3298846,-
yrbG,3340275,3341252,+
yrbL,3348452,3349084,+
yrbN,3307853,3307933,-
yrdA,3429236,3429790,+
yrdB,3429766,3430023,-
yrdD,3431420,3431962,-
yrdE,3404638,3405031,+
yrdF,3404495,3404637,+
yrfG,3528669,3529337,+
yrfJ,3490132,3490185,-
yrhA,3583038,3584309,+
yrhB,3584759,3585043,+
yrhC,3623887,3624132,+
yrhD,3584404,3584559,+
yriA,3640612,3640686,-
yriB,3640643,3640696,-
ysaA,3741109,3741582,-
ysaB,3725413,3725712,-
ysaC,3750813,3750914,-
ysaD,3750918,3751109,+
ysaE,3720400,3720471,+
ysdD,3884026,3884106,+
ysdE,3853766,3853840,-
ysgA,4015354,4016169,-
ysgD,4001218,4001274,+
yshB,4053647,4053757,-
ytcA,4304128,4304403,-
ytcB,4287611,4287667,+
ytfA,4427694,4428095,+
ytfB,4428079,4428717,-
ytfE,4431321,4431983,-
ytfF,4432091,4433056,-
ytfH,4434113,4434493,+
ytfI,4437707,4438645,+
ytfJ,4438708,4439262,-
ytfK,4439587,4439793,+
ytfP,4447894,4448235,+
ytfQ,4449962,4450918,+
ytfR,4451058,4452560,+
ytfT,4452571,4453596,+
ytgA,4486105,4486155,+
ytgB,4486043,4486099,+
ythA,4506448,4506573,+
ythB,4536597,4536695,+
ytiA,4563668,4563925,-
ytiB,391592,391648,-
ytiC,4556574,4556675,+
ytiD,4556654,4556797,+
ytiE,4568692,4568727,-
ytjA,4612128,4612289,+
ytjB,4624145,4624789,-
ytjC,4633797,4634444,+
ytjE,4640718,4640771,+
yzcX,3993850,3994335,+
yzgL,3563724,3564005,-
zapA,3055612,3055941,+
zapB,4118515,4118760,+
zapC,1005952,1006494,+
zapD,111856,112599,-
zapE,3378870,3379997,-
zapG,3380191,3380589,+
zbiJ,837435,837531,-
zinT,2041375,2042025,+
zipA,2530247,2531233,-
zitB,783882,784823,-
zntA,3606451,3608649,+
zntB,1408050,1409033,+
zntR,3438705,3439130,-
znuA,1941651,1942583,-
znuB,1943414,1944199,+
znuC,1942662,1943417,+
zraP,4201263,4201688,-
zraR,4203320,4204645,+
zraS,4201926,4203323,+
zupT,3182550,3183323,+
zur,4259488,4260003,-
zwf,1934839,1936314,-
